configuration,pop_mut,scenario,mutation_rate,population_size,replicate_seed,cell,type,value_leading,value_overall,fraction_leading_ben_del_neu,fraction_overall_ben_del_neu,fraction_leading_ben_del_neu_no,fraction_overall_ben_del_neu_no
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30020,B,beneficial,50,1674,0.9259259259259259,0.41435643564356434,0.01,0.3348
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30020,B,deleterious,4,1602,0.07407407407407407,0.39653465346534655,0.0008,0.3204
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30020,B,neutral,0,764,0.0,0.1891089108910891,0.0,0.1528
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30020,B,no_mutation,4946,960,0,0.41435643564356434,0,0.192
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30021,A,beneficial,47,940,1.0,0.4674291397314769,0.0094,0.188
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30021,A,deleterious,0,909,0.0,0.4520139234211835,0.0,0.1818
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30021,A,neutral,0,162,0.0,0.08055693684733964,0.0,0.0324
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30021,A,no_mutation,4953,2989,0,0.4674291397314769,0,0.5978
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30021,B,beneficial,49,1664,0.9607843137254902,0.41434262948207173,0.0098,0.3328
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30021,B,deleterious,2,1570,0.0392156862745098,0.39093625498007967,0.0004,0.314
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30021,B,neutral,0,782,0.0,0.1947211155378486,0.0,0.1564
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30021,B,no_mutation,4949,984,0,0.41434262948207173,0,0.1968
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30022,A,beneficial,47,922,0.9791666666666666,0.4684959349593496,0.0094,0.1844
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30022,A,deleterious,1,863,0.020833333333333332,0.43851626016260165,0.0002,0.1726
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30022,A,neutral,0,183,0.0,0.09298780487804878,0.0,0.0366
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30022,A,no_mutation,4952,3032,0,0.4684959349593496,0,0.6064
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30022,B,beneficial,52,1644,0.896551724137931,0.41641337386018235,0.0104,0.3288
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30022,B,deleterious,6,1549,0.10344827586206896,0.3923505572441743,0.0012,0.3098
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30022,B,neutral,0,755,0.0,0.19123606889564337,0.0,0.151
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30022,B,no_mutation,4942,1052,0,0.41641337386018235,0,0.2104
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30023,A,beneficial,48,948,0.9795918367346939,0.46607669616519176,0.0096,0.1896
