configuration,pop_mut,scenario,mutation_rate,population_size,replicate_seed,cell,type,value_leading,value_overall,fraction_leading_ben_del_neu,fraction_overall_ben_del_neu,fraction_leading_ben_del_neu_no,fraction_overall_ben_del_neu_no
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10021,A,neutral,0,0,0.0,0.0,0.0,0.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10021,A,no_mutation,4998,4998,0,1.0,0,0.9996
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10021,B,beneficial,2,2,1.0,1.0,0.0004,0.0004
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10021,B,deleterious,0,0,0.0,0.0,0.0,0.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10021,B,neutral,0,0,0.0,0.0,0.0,0.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10021,B,no_mutation,4998,4998,0,1.0,0,0.9996
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10022,A,beneficial,1,1,1.0,1.0,0.0002,0.0002
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10022,A,deleterious,0,0,0.0,0.0,0.0,0.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10022,A,neutral,0,0,0.0,0.0,0.0,0.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10022,A,no_mutation,4999,4999,0,1.0,0,0.9998
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10022,B,beneficial,1,1,1.0,1.0,0.0002,0.0002
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10022,B,deleterious,0,0,0.0,0.0,0.0,0.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10022,B,neutral,0,0,0.0,0.0,0.0,0.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10022,B,no_mutation,4999,4999,0,1.0,0,0.9998
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10023,A,beneficial,3,4,1.0,1.0,0.0006,0.0008
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10023,A,deleterious,0,0,0.0,0.0,0.0,0.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10023,A,neutral,0,0,0.0,0.0,0.0,0.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10023,A,no_mutation,4997,4996,0,1.0,0,0.9992
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10023,B,beneficial,3,4,1.0,1.0,0.0006,0.0008
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10023,B,deleterious,0,0,0.0,0.0,0.0,0.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10023,B,neutral,0,0,0.0,0.0,0.0,0.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10023,B,no_mutation,4997,4996,0,1.0,0,0.9992
