configuration,pop_mut,scenario,mutation_rate,population_size,replicate_seed,cell,value_leading_ben_del_neu,value_leading_ben_del_neu_no,value_overall_ben_del_neu,value_overall_ben_del_neu_no
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10294,B,100,5000,111,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10295,A,100,5000,121,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10295,B,100,5000,105,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10296,A,100,5000,117,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10296,B,100,5000,108,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10297,A,100,5000,113,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10297,B,100,5000,119,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10298,A,100,5000,119,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10298,B,100,5000,114,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10299,A,100,5000,114,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10299,B,100,5000,113,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10300,A,100,5000,119,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10300,B,100,5000,114,5000
CONFIG_1,"1000, 0.001, 0.001",bFollowsA,0.001,1000,10501,A,98,5000,109,5000
CONFIG_1,"1000, 0.001, 0.001",bFollowsA,0.001,1000,10501,B,99,5000,111,5000
CONFIG_1,"1000, 0.001, 0.001",bFollowsA,0.001,1000,10502,A,98,5000,113,5000
CONFIG_1,"1000, 0.001, 0.001",bFollowsA,0.001,1000,10502,B,97,5000,104,5000
CONFIG_1,"1000, 0.001, 0.001",bFollowsA,0.001,1000,10503,A,99,5000,106,5000
CONFIG_1,"1000, 0.001, 0.001",bFollowsA,0.001,1000,10503,B,98,5000,105,5000
CONFIG_1,"1000, 0.001, 0.001",bFollowsA,0.001,1000,10504,A,94,5000,101,5000
CONFIG_1,"1000, 0.001, 0.001",bFollowsA,0.001,1000,10504,B,99,5000,114,5000
